120,"0,5","0,5",1,BET,Entrada,Odd,P60,P120,P180,P240,P300,P360,P420,P480,P540,P600,P660,P720,P780,P840,P900,P960,P1020,P1080,P1140,P1200,P1260,P1320,P1380,P1440,P1500,P1560,P1620,P1680,P1740,P1800,P1860,P1920,P1980,P1200,Media Movel,Acertos 60,,Media Geral,P120,P240,P360,P480,P600,P720,P840,P960,P1080,P1200,P1320,,P180,P360,P540,P720,P780,P900,P1080,P1260,P1440,,P240,P480,P720,P960,P1200,P1440,P1680,P1920,,P300,P600,P900,P1200,P1500,P1800,,P360,P720,P1080,,,,,Corr,,EntroAtual,EntroPass,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,P(1),P(0),LOG(P(1);2),LOG(P(2);2),,,,,,
20,120,"1,25",2,0,"8,8",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,120,-1,0,0,"1,48",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,120,-1,0,0,"1,21",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,120,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,120,"-0,25",1,0,"1,83",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,120,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,120,"1,25",2,0,"3,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,120,"1,25",2,0,"17,32",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,120,"-0,25",1,0,"2,01",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,120,"1,25",2,0,"5,45",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,120,"1,25",2,0,"3,95",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,120,"-0,25",1,0,"2,7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,120,"1,25",2,0,"5,78",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,120,-1,0,0,"1,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,120,"-0,25",1,0,"2,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,120,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,3056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,120,-1,0,0,"1,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,120,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,120,-1,0,0,"1,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,120,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,120,"1,25",2,0,"3,44",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,120,-1,0,0,"1,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,120,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,120,"-0,25",1,0,"1,52",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,120,-1,0,0,"1,29",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,120,-1,0,0,"1,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,120,"-0,25",1,0,"2,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,120,"1,25",2,0,"6,96",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,120,"-0,25",1,0,"2,21",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,120,"-0,25",1,0,"2,19",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,120,"1,25",2,0,"3,51",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,120,-1,0,0,"1,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,120,-1,0,0,"1,18",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,120,-1,0,0,"1,26",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,120,-1,0,0,"1,31",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,120,-1,0,0,"1,4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,120,-1,0,0,"1,04",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,120,-1,0,0,"1,17",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,120,-1,0,0,"1,21",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"0,2373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,120,"-0,25",1,0,"1,79",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,1,,,,"0,2333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,120,"1,25",2,0,"11,18",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,120,"1,25",2,0,"34,79",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,120,"1,25",2,0,"25,75",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,120,"-0,25",1,0,"2,8",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,120,-1,0,0,"1,12",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,120,"-0,25",1,0,"2,08",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,120,"1,25",2,0,"11,47",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2333",14,,"0,2687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,120,"-0,25",1,0,"1,62",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,120,"1,25",2,0,"3,93",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2500",15,,"0,2754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,120,"-0,25",1,0,"1,55",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,120,"-0,25",1,0,"2,25",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,120,"1,25",2,0,"7,54",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,120,"1,25",2,0,"4,13",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2667",16,,"0,2877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,120,"1,25",2,0,"10,2",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2833",17,,"0,2973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,120,-1,0,0,"1,07",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3000",18,,"0,2933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,120,"1,25",2,0,"5,95",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3000",18,,"0,3026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,120,"-0,25",1,0,"1,63",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,2987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,120,"1,25",2,0,"6,84",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3000",18,,"0,3077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,120,"-0,25",1,0,"1,73",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,3038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,120,"1,25",2,0,"3,87",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,3125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,120,-1,0,0,"1,01",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,120,"1,25",2,0,"6,07",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3167",19,,"0,3171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,120,-1,0,0,"1,06",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,120,-1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,120,"1,25",2,0,"4,17",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3333",20,,"0,3176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,120,-1,0,0,"1,33",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3500",21,,"0,3140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,120,-1,0,0,"1,13",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3500",21,,"0,3103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
