Entrada,Resultado
1.44,0
2.17,1
1.32,0
1.09,0
3.75,1
4.0,1
2.35,1
4.0,1
2.28,1
4.0,1
1.93,0
4.0,1
4.0,1
3.7,1
1.27,0
3.21,1
1.19,0
1.58,0
1.0,0
1.15,0
4.0,1
1.69,0
4.0,1
3.92,1
1.05,0
1.12,0
1.01,0
2.37,1
1.43,0
2.1,1
1.05,0
4.0,1
4.0,1
1.29,0
1.18,0
2.51,1
1.74,0
1.78,0
3.43,1
1.65,0
4.0,1
1.19,0
4.0,1
2.28,1
1.68,0
1.05,0
2.63,1
1.07,0
1.09,0
1.45,0
1.07,0
1.45,0
1.37,0
2.05,1
4.0,1
4.0,1
1.44,0
2.69,1
4.0,1
4.0,1
1.85,0
1.25,0
1.02,0
3.75,1
1.83,0
1.23,0
4.0,1
2.0,1
4.0,1
1.32,0
1.55,0
3.47,1
1.04,0
4.0,1
2.74,1
1.1,0
1.35,0
1.82,0
1.06,0
2.02,1
1.61,0
4.0,1
4.0,1
3.74,1
3.85,1
1.14,0
4.0,1
1.07,0
1.92,0
1.75,0
1.06,0
1.55,0
4.0,1
1.0,0
1.05,0
4.0,1
1.0,0
1.28,0
1.2,0
1.21,0
4.0,1
1.62,0
2.84,1
1.99,0
1.73,0
1.08,0
1.57,0
1.75,0
4.0,1
1.73,0
1.26,0
4.0,1
3.21,1
3.17,1
2.91,1
1.57,0
4.0,1
4.0,1
1.99,0
1.25,0
3.7,1
1.34,0
1.81,0
1.84,0
1.9,0
4.0,1
1.64,0
1.98,0
1.05,0
4.0,1
2.24,1
1.61,0
2.68,1
1.03,0
4.0,1
2.19,1
2.52,1
4.0,1
2.29,1
1.63,0
4.0,1
2.09,1
1.54,0
2.79,1
1.05,0
1.93,0
2.78,1
1.78,0
4.0,1
4.0,1
1.16,0
4.0,1
4.0,1
2.59,1
4.0,1
1.27,0
1.26,0
4.0,1
4.0,1
1.3,0
1.95,0
1.43,0
1.37,0
4.0,1
3.93,1
2.27,1
2.91,1
3.07,1
4.0,1
4.0,1
2.23,1
4.0,1
4.0,1
4.0,1
2.18,1
3.76,1
1.14,0
1.62,0
3.21,1
1.41,0
1.41,0
1.71,0
4.0,1
2.12,1
1.43,0
2.24,1
1.38,0
1.53,0
1.0,0
1.0,0
1.2,0
2.62,1
1.2,0
1.58,0
1.73,0
4.0,1
1.19,0
1.06,0
1.56,0
1.53,0
1.93,0
1.77,0
1.35,0
4.0,1
1.14,0
4.0,1
1.12,0
1.9,0
1.8,0
4.0,1
1.9,0
4.0,1
4.0,1
1.11,0
4.0,1
1.36,0
4.0,1
2.01,1
4.0,1
1.31,0
2.04,1
1.11,0
1.09,0
1.22,0
2.28,1
1.02,0
1.9,0
1.33,0
4.0,1
1.02,0
1.15,0
1.99,0
4.0,1
1.84,0
1.54,0
2.84,1
4.0,1
1.27,0
1.6,0
4.0,1
1.72,0
4.0,1
4.0,1
2.61,1
1.03,0
2.73,1
1.53,0
2.14,1
1.68,0
1.44,0
1.33,0
1.44,0
3.17,1
1.16,0
4.0,1
1.04,0
3.84,1
2.87,1
4.0,1
1.8,0
1.11,0
1.12,0
1.16,0
4.0,1
1.26,0
1.73,0
1.03,0
1.05,0
4.0,1
4.0,1
4.0,1
2.95,1
4.0,1
1.55,0
4.0,1
1.31,0
2.23,1
1.33,0
1.67,0
1.82,0
4.0,1
2.4,1
1.31,0
4.0,1
2.31,1
1.54,0
4.0,1
1.7,0
4.0,1
1.09,0
1.07,0
1.63,0
2.63,1
1.0,0
4.0,1
1.0,0
1.89,0
1.27,0
2.22,1
2.37,1
4.0,1
1.09,0
2.29,1
1.89,0
4.0,1
4.0,1
4.0,1
2.23,1
4.0,1
2.94,1
4.0,1
1.64,0
1.23,0
4.0,1
2.69,1
4.0,1
1.13,0
2.37,1
1.05,0
1.31,0
4.0,1
1.95,0
4.0,1
4.0,1
4.0,1
4.0,1
4.0,1
4.0,1
4.0,1
1.02,0
2.36,1
4.0,1
1.04,0
4.0,1
2.86,1
2.16,1
1.49,0
2.0,1
3.94,1
1.14,0
1.38,0
1.99,0
1.03,0
1.18,0
1.9,0
1.08,0
4.0,1
1.25,0
1.1,0
1.2,0
1.59,0
2.89,1
4.0,1
1.21,0
4.0,1
1.6,0
3.74,1
1.7,0
1.07,0
1.62,0
4.0,1
1.39,0
1.1,0
1.49,0
2.65,1
3.74,1
1.0,0
3.41,1
4.0,1
4.0,1
4.0,1
1.41,0
1.29,0
1.82,0
1.95,0
4.0,1
4.0,1
1.28,0
2.93,1
2.5,1
2.4,1
1.39,0
1.74,0
4.0,1
4.0,1
1.26,0
4.0,1
2.22,1
3.43,1
1.14,0
4.0,1
1.24,0
1.02,0
1.08,0
1.78,0
3.79,1
1.11,0
2.27,1
1.72,0
4.0,1
1.22,0
1.4,0
4.0,1
3.54,1
4.0,1
2.12,1
1.23,0
4.0,1
1.33,0
1.81,0
2.41,1
4.0,1
2.37,1
1.36,0
4.0,1
4.0,1
1.54,0
4.0,1
2.36,1
2.01,1
1.62,0
1.35,0
1.02,0
2.2,1
1.04,0
3.93,1
1.21,0
4.0,1
1.0,0
2.76,1
1.58,0
1.2,0
1.33,0
1.52,0
3.2,1
2.67,1
4.0,1
1.89,0
2.22,1
1.33,0
4.0,1
4.0,1
1.09,0
1.38,0
1.23,0
1.2,0
2.04,1
1.41,0
1.81,0
1.06,0
1.17,0
4.0,1
1.23,0
1.56,0
3.75,1
1.54,0
4.0,1
4.0,1
3.45,1
2.56,1
4.0,1
1.28,0
4.0,1
1.74,0
2.3,1
4.0,1
1.1,0
1.98,0
1.12,0
3.65,1
4.0,1
1.16,0
4.0,1
1.02,0
1.16,0
4.0,1
1.24,0
1.3,0
1.26,0
4.0,1
1.8,0
4.0,1
3.13,1
1.22,0
4.0,1
1.35,0
1.1,0
1.17,0
1.4,0
4.0,1
1.09,0
2.37,1
