t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
0,"30,08",0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,
1,"1,08",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,
2,"4,47",0,"0,5",0,"0,5",0,"0,5",0,"0,5",0,"0,5",0,"0,5",0,"0,5",0,0,0,,,,,,,,,,,,,,
3,"2,86",1,"0,6666666667",1,"0,6666666667",1,"0,6666666667",1,"0,6666666667",0,"0,3333333333",0,"0,3333333333",0,"0,3333333333",0,0,1,,,,,,,,,,,,,,
4,"2,69",1,"0,75",1,"0,75",1,"0,75",0,"0,5",0,"0,25",0,"0,25",0,"0,25",0,0,1,,,,,,,,,,,,,,
5,"1,08",1,"0,8",1,"0,8",0,"0,6",0,"0,4",0,"0,2",0,"0,2",0,"0,2",0,0,1,,,,,,,,,,,,,,
6,"1,34",0,"0,6666666667",0,"0,6666666667",0,"0,5",0,"0,3333333333",0,"0,1666666667",0,"0,1666666667",0,"0,1666666667",0,0,0,,,,,,,,,,,,,,
7,"1,3",0,"0,5714285714",0,"0,5714285714",0,"0,4285714286",0,"0,2857142857",0,"0,1428571429",0,"0,1428571429",0,"0,1428571429",0,0,0,,,,,,,,,,,,,,
8,"1,37",0,"0,5",0,"0,5",0,"0,375",0,"0,25",0,"0,125",0,"0,125",0,"0,125",0,0,0,,,,,,,,,,,,,,
9,"3,32",0,"0,4444444444",0,"0,4444444444",0,"0,3333333333",0,"0,2222222222",0,"0,1111111111",0,"0,1111111111",0,"0,1111111111",0,0,0,,,,,,,,,,,,,,
10,"2,35",1,"0,5",1,"0,5",1,"0,4",0,"0,2",0,"0,1",0,"0,1",0,"0,1",0,0,1,,,,,,,,,,,,,,
11,"1,06",1,"0,5454545455",1,"0,5454545455",0,"0,3636363636",0,"0,1818181818",0,"0,09090909091",0,"0,09090909091",0,"0,09090909091",0,0,1,,,,,,,,,,,,,,
12,"2,87",0,"0,5",0,"0,5",0,"0,3333333333",0,"0,1666666667",0,"0,08333333333",0,"0,08333333333",0,"0,08333333333",0,0,0,,,,,,,,,,,,,,
13,"1,95",1,"0,5384615385",1,"0,5384615385",1,"0,3846153846",0,"0,1538461538",0,"0,07692307692",0,"0,07692307692",0,"0,07692307692",0,0,1,,,,,,,,,,,,,,
14,"1,27",1,"0,5714285714",0,"0,5",0,"0,3571428571",0,"0,1428571429",0,"0,07142857143",0,"0,07142857143",0,"0,07142857143",0,0,0,,,,,,,,,,,,,,
15,"1,28",0,"0,5333333333",0,"0,4666666667",0,"0,3333333333",0,"0,1333333333",0,"0,06666666667",0,"0,06666666667",0,"0,06666666667",0,0,0,,,,,,,,,,,,,,
16,"1,52",0,"0,5",0,"0,4375",0,"0,3125",0,"0,125",0,"0,0625",0,"0,0625",0,"0,0625",0,0,0,,,,,,,,,,,,,,
17,"1,61",0,"0,4705882353",0,"0,4117647059",0,"0,2941176471",0,"0,1176470588",0,"0,05882352941",0,"0,05882352941",0,"0,05882352941",0,0,0,,,,,,,,,,,,,,
18,"1,77",0,"0,4444444444",0,"0,3888888889",0,"0,2777777778",0,"0,1111111111",0,"0,05555555556",0,"0,05555555556",0,"0,05555555556",0,0,0,,,,,,,,,,,,,,
19,"2,98",1,"0,4736842105",0,"0,3684210526",0,"0,2631578947",0,"0,1052631579",0,"0,05263157895",0,"0,05263157895",0,"0,05263157895",0,0,0,,,,,,,,,,,,,,
20,"1,34",1,"0,5",1,"0,4",1,"0,3",0,"0,1",0,"0,05",0,"0,05",0,"0,05",0,0,1,,,,,,,,,,,,,,
21,"6,03",0,"0,4761904762",0,"0,380952381",0,"0,2857142857",0,"0,09523809524",0,"0,04761904762",0,"0,04761904762",0,"0,04761904762",0,0,0,,,,,,,,,,,,,,
22,"5,44",1,"0,5",1,"0,4090909091",1,"0,3181818182",1,"0,1363636364",1,"0,09090909091",0,"0,04545454545",0,"0,04545454545",0,0,1,,,,,,,,,,,,,,
23,"1,12",1,"0,5217391304",1,"0,4347826087",1,"0,347826087",1,"0,1739130435",0,"0,08695652174",0,"0,04347826087",0,"0,04347826087",0,0,1,,,,,,,,,,,,,,
24,"1,88",0,"0,5",0,"0,4166666667",0,"0,3333333333",0,"0,1666666667",0,"0,08333333333",0,"0,04166666667",0,"0,04166666667",0,0,0,,,,,,,,,,,,,,
25,"4,08",1,"0,52",0,"0,4",0,"0,32",0,"0,16",0,"0,08",0,"0,04",0,"0,04",0,0,0,,,,,,,,,,,,,,
26,"3,02",1,"0,5384615385",1,"0,4230769231",1,"0,3461538462",1,"0,1923076923",0,"0,07692307692",0,"0,03846153846",0,"0,03846153846",0,0,1,,,,,,,,,,,,,,
27,"1,26",1,"0,5555555556",1,"0,4444444444",1,"0,3703703704",0,"0,1851851852",0,"0,07407407407",0,"0,03703703704",0,"0,03703703704",0,0,1,,,,,,,,,,,,,,
28,"1,54",0,"0,5357142857",0,"0,4285714286",0,"0,3571428571",0,"0,1785714286",0,"0,07142857143",0,"0,03571428571",0,"0,03571428571",0,0,0,,,,,,,,,,,,,,
