,Odd_Categoria5
0,4
1,1
2,3
3,6
4,5
5,1
6,6
7,6
8,1
9,6
10,6
11,6
12,6
13,1
14,3
15,1
16,6
17,2
18,1
19,1
20,2
21,5
22,6
23,2
24,4
25,2
26,1
27,6
28,4
29,6
30,6
31,4
32,1
33,1
34,1
35,4
36,4
37,6
38,2
39,4
40,1
41,1
42,5
43,1
44,2
45,5
46,2
47,2
48,6
49,5
50,5
51,4
52,6
53,3
54,3
55,6
56,2
57,1
58,6
59,3
60,3
61,1
62,6
63,5
64,2
65,6
66,3
67,3
68,1
69,2
70,1
71,6
72,6
73,3
74,6
75,6
76,1
77,4
78,6
79,1
80,6
81,4
82,3
83,1
84,1
85,1
86,6
87,6
88,1
89,6
90,6
91,6
92,1
93,6
94,6
95,1
96,1
97,5
98,6
99,1
100,6
101,1
102,2
103,1
104,5
105,2
106,1
107,1
108,6
109,2
110,5
111,3
112,1
113,5
114,2
115,6
116,1
117,1
118,4
119,1
120,1
121,6
122,3
123,6
124,1
125,6
126,4
127,2
128,6
129,5
130,1
131,4
132,3
133,6
134,5
135,1
136,5
137,6
138,4
139,4
140,6
141,6
142,2
143,4
144,6
145,6
146,6
147,1
148,5
149,4
150,1
151,5
152,6
153,3
154,1
155,6
156,4
157,6
158,4
159,6
160,1
161,1
162,3
163,6
164,6
165,6
166,4
167,6
168,5
169,5
170,1
171,3
172,6
173,4
174,6
175,1
176,4
177,3
178,6
179,3
180,6
181,6
182,6
183,1
184,1
185,5
186,2
187,6
188,6
189,6
190,2
191,6
192,6
193,4
194,1
195,3
196,5
197,1
198,3
199,2
200,1
201,3
202,6
203,4
204,6
205,5
206,6
207,5
208,6
209,6
210,1
211,1
212,1
213,1
214,6
215,6
216,6
217,3
218,1
219,4
220,6
221,6
222,6
223,3
224,6
225,2
226,4
227,5
228,6
229,6
230,5
231,1
232,5
233,6
234,2
235,1
236,6
237,6
238,4
239,5
240,6
241,1
242,1
243,1
244,5
245,6
246,2
247,6
248,6
249,1
250,4
251,6
252,6
253,2
254,6
255,3
256,1
257,1
258,6
259,6
260,3
261,3
262,6
263,1
264,6
265,3
266,6
267,5
268,6
269,6
270,6
271,1
272,1
273,6
274,6
275,1
276,6
277,3
278,5
279,6
280,3
281,6
282,4
283,5
284,6
285,6
286,5
287,5
288,3
289,6
290,6
291,6
292,1
293,3
294,2
295,6
296,3
297,1
298,6
299,1
300,4
301,1
302,1
303,6
304,6
305,1
306,6
307,6
308,4
309,6
310,5
311,1
312,1
313,3
314,5
315,6
316,4
317,3
318,6
319,6
320,2
321,6
322,3
323,4
324,4
325,2
326,4
327,6
328,1
329,3
330,4
331,4
332,6
333,6
334,6
335,2
336,4
337,4
338,4
339,1
340,1
341,2
342,1
343,6
344,5
345,2
346,6
347,2
348,4
349,1
350,6
351,2
352,5
353,4
354,2
355,5
356,2
357,1
358,6
359,1
360,6
361,2
362,6
363,6
364,1
365,1
366,6
367,6
368,6
369,2
370,6
371,6
372,6
373,3
374,6
375,6
376,6
377,1
378,1
379,1
380,5
381,4
382,3
383,1
384,6
385,6
386,6
387,6
388,4
389,6
390,6
391,5
392,6
393,2
394,1
395,1
396,4
397,5
398,3
399,6
400,1
401,1
402,6
403,6
404,6
405,4
406,6
407,6
408,2
409,6
410,1
411,1
412,2
413,6
414,3
415,5
416,2
417,6
418,2
419,4
420,1
421,6
422,5
423,1
424,1
425,6
426,6
427,6
428,3
429,1
430,6
431,6
432,4
433,6
434,6
435,3
436,1
437,3
438,6
439,5
440,2
441,6
442,3
443,1
444,4
445,1
446,4
447,6
448,1
449,6
450,5
451,6
452,4
453,1
454,6
455,3
456,6
457,1
458,3
459,6
460,6
461,6
462,4
463,6
464,4
465,6
466,2
467,5
468,6
469,1
470,3
471,1
472,1
473,6
474,6
475,6
476,4
477,6
478,1
479,3
480,1
481,3
482,1
483,6
484,4
485,2
486,4
487,1
488,6
489,6
490,5
491,6
492,6
493,6
494,6
495,3
496,6
497,6
498,6
499,6
